Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
P97846,-0.194733761040798,30.740164454196,-1.27607559286948,0.212733439074724,0.42250691160257,-5.48318483489903,Contactin-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Cntnap1 PE=1 SV=1,False,False
P84092,-0.565504998064451,28.9927337168269,-2.95126789607364,0.0064495899285575,0.0529950887119238,-2.5136218732383,AP-2 complex subunit mu OS=Rattus norvegicus OX=10116 GN=Ap2m1 PE=1 SV=1,False,False
P10960,0.186707768372223,27.9011214655411,1.14238041907532,0.263266660011667,0.470916161164723,-5.6363901703267,Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=1,False,False
P04906,0.0207535901352252,27.5394505239799,0.17235378840473,0.864437249751182,0.919632162554549,-6.25877490057544,Glutathione S-transferase P OS=Rattus norvegicus OX=10116 GN=Gstp1 PE=1 SV=2,False,False
P16638,-0.183042826231386,28.6223849764668,-1.78509875257436,0.0854186973533095,0.243443287456932,-4.76905010310706,ATP-citrate synthase OS=Rattus norvegicus OX=10116 GN=Acly PE=1 SV=1,False,False
P32851,-0.116729319702308,29.0555425048631,-0.689099302610069,0.49660578760416,0.679929289475733,-6.03816017748826,Syntaxin-1A OS=Rattus norvegicus OX=10116 GN=Stx1a PE=1 SV=1,False,False
P68403,0.343890768546071,28.1073758656128,1.16145078005189,0.255564189564495,0.464308484758614,-5.61546702331241,Protein kinase C beta type OS=Rattus norvegicus OX=10116 GN=Prkcb PE=1 SV=3,False,False
P54690,0.188753587881077,26.4595116778599,0.717289441327969,0.479319307631993,0.67117418656856,-6.01869041480414,"Branched-chain-amino-acid aminotransferase, cytosolic OS=Rattus norvegicus OX=10116 GN=Bcat1 PE=1 SV=1",False,False
P09527,-1.34336004585961,28.0432582117518,-1.64160504783542,0.112202111847463,0.290011663796665,-4.99021239962081,Ras-related protein Rab-7a OS=Rattus norvegicus OX=10116 GN=Rab7a PE=1 SV=2,False,False
P07936,-0.175096671833142,27.8701422328962,-1.46537625074655,0.154299545212523,0.347414568534642,-5.2409796643314,Neuromodulin OS=Rattus norvegicus OX=10116 GN=Gap43 PE=1 SV=1,False,False
P31016,-0.332840728259438,28.1223744604914,-2.69778424828053,0.0118510675506475,0.077584877639491,-3.06163267390239,Disks large homolog 4 OS=Rattus norvegicus OX=10116 GN=Dlg4 PE=1 SV=1,False,False
P11598,-0.103302270586866,28.9399314272888,-0.701434423813534,0.488998846487068,0.677219630109328,-6.02973331586658,Protein disulfide-isomerase A3 OS=Rattus norvegicus OX=10116 GN=Pdia3 PE=1 SV=2,False,False
Q3KR86,-0.0244402655195124,28.4579808755246,-0.232024758153536,0.818258092591675,0.892065124455509,-6.2467208613853,MICOS complex subunit Mic60 (Fragment) OS=Rattus norvegicus OX=10116 GN=Immt PE=1 SV=1,False,False
Q9QYF3,-0.108147467767274,30.6229913867361,-1.00311568984678,0.324658540366566,0.536801830865636,-5.77957795966419,Unconventional myosin-Va OS=Rattus norvegicus OX=10116 GN=Myo5a PE=1 SV=1,False,False
Q06647,0.078516371841701,28.04005048002,0.747307281328431,0.461299187430995,0.653909712025873,-5.99713401093277,"ATP synthase subunit O, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5po PE=1 SV=1",False,False
A9UMV8,0.521746880666974,29.3647711462717,3.38793424489844,0.0021646960142254,0.030520745215542,-1.51628758136767,Histone H2A.J OS=Rattus norvegicus OX=10116 GN=H2aj PE=2 SV=1,True,False
Q00728,0.566229432650541,23.289426448614,0.632682502244271,0.532231766891931,0.705516528205582,-6.07485932758413,Histone H2A type 4 OS=Rattus norvegicus OX=10116 PE=2 SV=2,False,False
P0CC09,0.318874753786776,20.7013532801261,0.260858418259732,0.79616937758449,0.876271784475612,-6.23962657826,Histone H2A type 2-A OS=Rattus norvegicus OX=10116 GN=H2ac18 PE=1 SV=1,False,False
Q64598,-0.336316227481213,24.9846487364037,-1.69782852448979,0.100970562400765,0.273377797700073,-4.90532051386178,Histone H2A type 1-F OS=Rattus norvegicus OX=10116 PE=3 SV=3,False,False
Q64548,0.0059190799895816,26.9446659964823,0.0141277892465047,0.988831295270355,0.989745187410161,-6.27352987599016,Reticulon-1 OS=Rattus norvegicus OX=10116 GN=Rtn1 PE=1 SV=1,False,False
P04905,-0.266665440254542,26.4239899040688,-1.41809874034455,0.167533931417077,0.365068908902805,-5.30417035090026,Glutathione S-transferase Mu 1 OS=Rattus norvegicus OX=10116 GN=Gstm1 PE=1 SV=2,False,False
