,AC1R1.raw,AC1R2.raw,AC1R3.raw,AC2R1.raw,AC2R2.raw,AC2R3.raw,AHFD1R1.raw,AHFD1R2.raw,AHFD1R3.raw,AHFD2R1.raw,AHFD2R2.raw,AHFD2R3.raw,AHFD3IPR1.raw,AHFD3IPR2.raw,AHFD3IPR3.raw,AHFD4IPR1.raw,AHFD4IPR2.raw,AHFD4IPR3.raw,AHFD5PioR1.raw,AHFD5PioR2.raw,AHFD5PioR3.raw,AHFD6PioR1.raw,AHFD6PioR2.raw,AHFD6PioR3.raw,AHFD7CrR1.raw,AHFD7CrR2.raw,AHFD7CrR3.raw,AHFD8CrR1.raw,AHFD8CrR2.raw,AHFD8CrR3.raw
P11980,30.7368852038958,30.6896805944096,30.575614980235,30.9639488398194,31.2339385034722,31.1041892426932,31.2396944844811,31.0846066367754,31.4649993975867,31.1850212228446,31.0349819895278,31.0322623910796,31.1562566148508,31.3527580444001,30.9532990489011,31.2249515038144,31.076465271491,31.1140217441208,31.2560490851537,31.4024409406068,31.195999914139,31.2906091889663,30.8986035208147,30.9027119157166,31.3531129091279,31.1122902601173,30.759956447436,31.3147084571208,30.924160920301,31.1308283358343
P12839,29.4254242381729,29.1340724031023,29.5378158734655,29.6697275022094,29.9783948046799,29.6519084802615,30.3945352027719,29.6077422878184,29.9305931624421,30.2558443719624,30.0280717940982,29.7134788200744,30.2492524495695,30.0091712855252,30.2477399340896,30.1947348496249,30.4178848722009,30.0812011077032,29.790326024477,30.4678420167234,30.2320503354333,30.3140892186983,30.1950115256863,30.0869083960211,30.1854311408651,30.062353767281,29.6868095595793,30.0822406798713,29.8151720829978,30.3097392767369
P02770,27.8014276386216,28.0328837567185,27.7090953026759,28.2864806682848,28.7091065713172,28.1885046427145,29.270875296672,28.3929784278904,29.0486633795585,28.8949039307976,28.8964693735918,28.5588551562604,28.9536429181574,28.6735556387189,29.0360249640203,29.1061508419385,29.089259418791,29.0326094797395,27.8416218592259,29.5312928057724,28.1652720460677,28.756951640647,28.2031092643858,27.6399300155029,29.1555390913923,28.5771536186068,27.9425359605308,28.830981756355,28.060671351951,28.9881426655282
P63102,29.7605324683646,30.3421361302633,30.0371298404386,30.6220209059016,31.3169796938508,30.7687897444645,30.6155672989555,30.787418165458,31.3718515562637,31.1367344032499,30.1786920916922,30.6690366732454,31.1865379470886,31.3421314841773,30.697005831643,31.1421790173605,30.9121530953773,31.0015705638891,31.2479912286543,31.4281648966097,30.8528746301393,31.2372718044443,30.7597815133576,30.2501827896283,31.4023907782054,31.1028906014558,30.3693368048343,31.1941809267696,30.545941471345,31.0559374177332
P61765,29.1107394891971,29.9226624922332,29.2515183295746,29.5873150244702,30.1768882486135,30.399795740516,30.0311181456259,29.6731725506533,30.1257712937448,29.9146672038284,29.3194607346481,29.4962835830695,29.8874607374955,29.6350515959376,29.5794380004916,29.8928993752205,30.0047793145179,29.9112382157798,30.0080033152902,30.0369119716406,29.9170673726153,30.0625764991187,29.7019392300083,29.9828744425556,30.2998143490357,30.2611212509049,29.2401761440436,29.9705003396582,29.5889541995471,30.057972340331
P04636,29.4541242195344,29.6529715210632,29.3326090167348,29.9130464846153,30.3544843981541,29.8520989451087,30.5089655981889,30.054110041308,30.487832277044,30.2831254439798,29.6236074277579,29.8916645544602,30.2653208114566,30.4864174217973,30.0295304618687,30.2646237081159,30.0110664111854,30.153396733152,30.479119757184,30.1860185312995,30.3669581291547,30.2727174087934,30.1360541893685,30.2492613316264,30.5256921830189,30.225043455892,29.6601407083717,30.2117105779582,29.9306990813727,30.2188282442675
P82995,29.3122240303689,29.3144522559557,29.2357684901521,29.3895004601755,29.6304158055716,29.5680655367855,29.9767549425394,29.8044158035727,29.8003240283395,29.7089113153132,29.8201246759173,29.4809822270429,29.7413733994907,29.8319800566309,29.6682753310306,29.6659044124392,29.5464365021845,29.596178304982,29.9059286573452,29.8697072030591,29.867018610406,29.7664422392157,29.7579767011769,29.7665147737963,29.989776554113,29.563227588623,29.3519847028479,29.6812163190615,29.4168949937613,29.6637731839023
P05708,29.4352925363639,29.6140648296526,29.5760405811464,29.8164884243448,30.2057580242238,29.8987198053989,30.0157395953266,29.9452633726061,30.2933768876411,30.1638915862087,29.8744302462478,29.9506241337287,30.2543920350194,30.3440136956127,29.824260950638,30.096713035459,30.0114483644738,30.0488250026258,30.1405326032882,29.6966657210226,29.9625312439261,30.1069950857756,29.8877913321796,29.7978808741192,30.261208121111,30.1430318859864,29.629842193691,30.0821282567908,29.7645660512073,30.1009124755836
P13221,29.0287814364136,29.2117910620759,28.863420862358,29.2011132098987,29.4526528822857,29.2574379801218,29.8403323492307,29.3681718854007,29.5610252832634,29.515081055962,29.2327634124852,29.2288405835794,29.4338285306423,29.5421267838438,29.4085922084279,29.3873279185908,29.4310635826162,29.3893608321879,29.4868520404168,30.0541793447979,29.6191657622446,29.5393099105207,29.3572798142803,29.4856845588701,29.8133759053312,29.4819269017647,29.0323431314749,29.5402284239327,29.3308447751752,29.3283072483945
P48500,28.7325004850053,28.926705679971,28.982606790003,29.3503971575005,30.0344823782002,29.0159040179247,29.8022556983232,29.1048872045217,29.898018436332,29.5921317817632,28.8746309981684,28.9019114304024,29.7469777546003,29.8516856354346,29.4049728206862,29.7496583274051,29.5514089365266,29.5855351742441,29.8615568021097,29.7253667418939,29.8776576417562,29.7461227842172,29.6682487681958,29.2602393072217,29.8884032676922,29.7874818192625,28.7988508622712,29.6514017054125,29.2467678983997,29.7147540325047
