"Protein","Symbol","FC_hfd","FC_pio","FC_ip","FC_cr","RescuePct_Pio","RescuePct_IP","RescuePct_Cr"
"P85969","Napb",0.655737380460153,0.0571198022804822,-0.118461349452154,-0.170437561928505,-8.71077415784949,18.0653647301646,25.9917410547654
"P35435","Atp5f1c",0.580128457009469,0.0599367193026907,-0.042662138554924,0.0848718616173194,-10.3316288967553,7.353912403271,-14.6298394074356
"P11348","Qdpr",-0.756944181748015,0.149679068911901,0.305603250262148,0.0281298140805326,19.7741223885553,40.3732874406164,3.71623360860933
"Q5PQN0","Ncald",-0.649847949766009,-0.149978829679796,-0.0362787831283669,0.158888369473669,-23.0790648387517,-5.58265716486908,24.4500839820884
"Q7M0E3","Dstn",0.32441346949911,0.0051337785889735,0.0370697011149375,-0.0238921621311086,-1.58248009766672,-11.4266837231428,7.36472569033517
"P11240","Cox5a",0.683702523485444,0.0707179451322268,-0.0333486736488808,-0.0453278402570447,-10.3433792772497,4.87765841185912,6.62976056106508
"P02650","Apoe",0.70050944223863,-0.182462219280417,-0.349190783539935,-0.312746290853084,26.0470749255455,49.8481194520405,44.6455496522124
"P05696","Prkca",-0.54131807526575,0.0699061606289995,0.145243628339102,-0.0250665203625857,12.9140636204842,26.8314757950392,-4.63064536507113
"P08932","Kng1",1.0181285382224,0.643000789684965,-0.398923141379285,0.0570223830698495,-63.1551680898378,39.1820017220796,-5.60070569963667
"Q1WIM2","Cadm2",-0.473560416984931,-0.0268926072722095,-0.0111043760232619,0.0403514673507743,-5.67881231362824,-2.34486997328902,8.52086996790914
"Q5PPJ9","Sh3glb2",0.763174152505918,-0.11862263434525,0.0296459576067178,-0.220415123749916,15.5433244110466,-3.88455996699756,28.8813664648066
"F1LU71","Auh",0.405916968079922,-0.17593063236237,-0.0229223224582711,-0.163298642911315,43.3415319380614,5.64704712067071,40.229568052736
"Q8VII6","Slc44a1",0.584845664371702,-0.330923256192435,-0.297020603431204,-0.351011349876519,56.5830057999908,50.7861512062832,60.0177741342427
"Q6RUV5","Rac1",0.822314409399741,-0.164330848210959,-0.219871530956027,-0.284972982471718,19.9839436512993,26.7381342759791,34.6549907449315
"Q8K4Y5","Lgi1",0.345717462800241,-0.128697802827737,-0.0818614668007314,0.0164501117380347,37.2262950749757,23.6787190724096,-4.75825305577339
"P85970","Arpc2",-0.520753260711587,0.206641955871888,0.0217497347285409,-0.0693459264460081,39.6813561166224,4.17659117464206,-13.3164651434443
"P14480","Fgb",-0.586372694394981,-0.292269334611657,-0.171374154659091,-0.153479151716908,-49.8436126725206,-29.2261485395248,-26.1743347164669
"P62959","Hint1",1.04340471563802,0.218484195458721,0.0731412516602354,-0.191875801495094,-20.9395445682956,-7.00986401192476,18.3893937433248
"P83868","Ptges3",0.936377437446428,0.199251486315504,0.0855997756906177,-0.209140569049264,-21.2789713151224,-9.14158887937911,22.3350713810027
"Q5U316","Rab35",-0.792009235419901,-0.28554498206638,0.0009706451654381,-0.132864596348004,-36.0532389391889,0.122554778660313,-16.7756372534675
"P27952","Rps2",-0.419338969823201,0.0515770752847686,0.0186383308063007,0.186218026958532,12.2996141537988,4.44469323091028,44.4075176311527
"P31647","Slc6a11",0.989664296007664,0.280571171624818,-0.154459528854513,-0.05461356278159,-28.3501357739842,15.6072649561682,5.51839275215877
"Q8VD52","Pdxp",0.854759110975969,-0.6240285343065,-0.203347664404035,-0.284977208260951,73.006362411742,23.7900552088707,33.340060913251
"P20171","Hras",-0.763980766775507,0.0489670783504863,0.804472537253407,0.28889340507417,6.40946480330376,105.300103384644,37.814224865043
"P04256","Hnrnpa1",-0.913256495214753,-0.469348446903588,-0.0741545878165155,-0.357677971817338,-51.392839729349,-8.11979856755117,-39.165116666729
"Q78P75","Dynll2",0.756405489058704,-0.0807508795720011,-0.192125637806079,-0.192938207161532,10.6756072953001,25.399820676231,25.5072457765518
"P09811","Pygl",-0.760552149867845,-0.25616263039657,0.0303021767415217,-0.0315746971598152,-33.68113947756,3.98423392094639,-4.15154926132306
"P68182","Prkacb",0.302998161884048,-0.118575144950295,-0.12578981046256,-0.0721374617099144,39.1339486064842,41.5150407779363,23.8078875664995
"P35434","Atp5f1d",0.940807189485735,0.298228067082615,0.0175552856341596,-0.0447589065974867,-31.6991696508647,-1.86598123721351,4.75750048444601
"Q4KMA2","Rad23b",0.860153297601421,-0.100350812842244,-0.239457348618242,-0.308913165719563,11.6666195574762,27.8389153754314,35.9137338170978
