protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
P20788,26.831048786605308,26.850726941406567,26.74590111964641,0.10482582176015853,0.5790080034102101,0.8921250248198546,0.23731543314153108,,non significant
P55068,27.806318653179922,27.89788730480805,27.84496150588791,0.0529257989201426,0.6155735058525279,0.8921250248198546,0.2107200803767184,,non significant
Q9JK11,26.864538517147327,26.830333440179203,26.909505609571127,-0.07917216939192429,0.6244376388606476,0.8921250248198546,0.20451092710733818,,non significant
P82471,26.890431112894216,26.858064576280867,26.77893176068535,0.07913281559551777,0.5893778984880162,0.8921250248198546,0.22960615410649712,,non significant
B3GNI6,27.95894775021242,27.996052593061847,27.91378128957632,0.08227130348552691,0.5849222382260109,0.8921250248198546,0.2329018668308163,,non significant
Q9Z2G8,26.545555268759927,26.57019759926432,26.495813945246017,0.07438365401830183,0.6061607125239645,0.8921250248198546,0.21741221525802712,,non significant
Q63429,25.503087726945825,25.234669437263147,25.315008586091277,-0.08033914882813065,0.6551761136174801,0.8921250248198546,0.18364194444852489,,non significant
Q9JHZ4,29.442048231382,29.377012162763226,29.307778563141138,0.06923359962208764,0.6681925379064584,0.8960968387327443,0.17509837868912387,,non significant
P08461,28.66578672772103,28.70059455029531,28.637998339426435,0.06259621086887535,0.6713637759357258,0.897059759076116,0.17304209522329644,,non significant
Q9WV97,26.247054659004615,26.44281657659796,26.341950338272422,0.10086623832553698,0.6700506516635983,0.897059759076116,0.1738923660953931,,non significant
P97576,26.14548007375569,26.176992091414863,26.235187600881087,-0.05819550946622343,0.6708460214870221,0.897059759076116,0.17337715150382382,,non significant
O35567,27.1298539847716,27.216590593480976,27.145117744617888,0.07147284886308825,0.6747509375775409,0.9004887816576184,0.17085650331169108,,non significant
P40241,26.502960173905674,26.829407186943488,26.684787029231885,0.14462015771160353,0.6780721018475314,0.9011770516529203,0.16872412358186908,,non significant
P68035,22.700924500056534,22.731145436254863,22.383890726217896,0.3472547100369674,0.6766961227567435,0.9011770516529203,0.16960631187204345,3.8026500220126183,non significant
Q4QQT4,28.047339428645284,27.965459896513412,27.875491862702106,0.08996803381130647,0.678552638710403,0.9011770516529203,0.16841645630972632,,non significant
P29457,28.531700540663213,28.46707613834271,28.413867792029592,0.05320834631311655,0.6784447433315699,0.9011770516529203,0.16848551814929794,,non significant
F1LMY4,30.554125347124593,30.475606011780275,30.52581349944747,-0.05020748766719407,0.688740934057806,0.9016095521019251,0.16194410474935111,,non significant
A0A096MJN4,27.299219150604408,27.127599407456373,27.287566805689128,-0.1599673982327552,0.6857055057648134,0.9016095521019251,0.16386236342119728,,non significant
Q641Y8,28.120807824887258,28.07633317751655,28.125645714657296,-0.04931253714074657,0.6851216966909739,0.9016095521019251,0.16423227886222178,,non significant
Q03114,27.09607988559402,26.991598955453483,27.05184177039342,-0.06024281493993655,0.6822408117278851,0.9016095521019251,0.16606230460309868,,non significant
P31000,28.979463549720794,28.92481941623709,28.878017156387454,0.04680225984963471,0.6804277477762185,0.9016095521019251,0.16721798421234904,,non significant
Q63377,27.558564442864416,27.48598954171344,27.425302252926524,0.06068728878691587,0.6841216269654911,0.9016095521019251,0.16486668011585295,,non significant
Q5PPN4,22.70564845382012,22.5812921718323,22.864403295805214,-0.2831111239729154,0.6820836509515518,0.9016095521019251,0.1661623600665931,7.8528994056125585,non significant
Q9EPH8,28.510742410336352,28.544250936789137,28.49201407511383,0.05223686167530772,0.6875974032424483,0.9016095521019251,0.16266577212402686,,non significant
Q9JIX5,30.32226445269073,30.294425478322683,30.24767902456645,0.04674645375623143,0.686553559691392,0.9016095521019251,0.16332557675047488,,non significant
D3ZQD3,28.489135497180502,28.533208949856938,28.485878213800834,0.04733073605610372,0.688554623764223,0.9016095521019251,0.16206160100127592,,non significant
P63004,28.100789469556467,27.972445584339066,28.02859991853936,-0.056154334200293476,0.6869772965344094,0.9016095521019251,0.163057615418983,,non significant
P85108,31.519385862232074,31.562388352307934,31.45997490088404,0.10241345142389591,0.6850428244109883,0.9016095521019251,0.16428227839947904,,non significant
P97526,30.155129287894102,30.062943054964123,30.02019409881402,0.04274895615010266,0.6911415173720643,0.9036737122254523,0.16043301786301029,,non significant
P54287,26.407777281762556,26.099168888008478,26.21038850114476,-0.11121961313628148,0.6945812970824821,0.903862020046836,0.1582769150696423,,non significant
P26769,28.683392277514994,28.459308727243734,28.769957331647316,-0.3106486044035819,0.693344148524964,0.903862020046836,0.15905114532217118,4.894839104957278,non significant
Q6AY56,24.779829962840644,24.634144583881653,24.303726152435214,0.33041843144643934,0.6945256178964685,0.903862020046836,0.15831173047944952,4.191905789976566,non significant
P07483,26.960151091050236,26.970318124407992,26.888340304621916,0.08197781978607566,0.6934243912534501,0.903862020046836,0.15900088607092097,,non significant
P21396,28.17355302018716,28.18803835405978,28.226834188040133,-0.0387958339803518,0.696756018999845,0.9045459796956566,0.15691927090008556,,non significant
