Protein.Ids	Description	AC1R1.raw	AC1R2.raw	AC1R3.raw	AC2R1.raw	AC2R2.raw	AC2R3.raw	AHFD1R1.raw	AHFD1R2.raw	AHFD1R3.raw	AHFD2R1.raw	AHFD2R2.raw	AHFD2R3.raw	AHFD3IPR1.raw	AHFD3IPR2.raw	AHFD3IPR3.raw	AHFD4IPR1.raw	AHFD4IPR2.raw	AHFD4IPR3.raw	AHFD5PioR1.raw	AHFD5PioR2.raw	AHFD5PioR3.raw	AHFD6PioR1.raw	AHFD6PioR2.raw	AHFD6PioR3.raw	AHFD7CrR1.raw	AHFD7CrR2.raw	AHFD7CrR3.raw	AHFD8CrR1.raw	AHFD8CrR2.raw	AHFD8CrR3.raw
Q63604	BDNF/NT-3 growth factors receptor OS=Rattus norvegicus OX=10116 GN=Ntrk2 PE=1 SV=1	102577430.921875	90130902.5	122387177.75	99108545.125	84832819.5	82063594.6875	91761662.75	114589449.75	120272131.25	142312822.875	105177081.1875	128564238.8125	109358256.0	154978261.5	117011059.5	135781308.9375	111872669.070313	117946308.0	113164833.75	130639504.4375	100769136.125	129152958.75	99087609.75	109576169.0	120083398.5	132867389.75	151830611.9375	115085020.75	121035648.6875	185378257.25
Q71LX6	Xin actin-binding repeat-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Xirp2 PE=1 SV=1	4376892249.76758	3583671924.67969	3210790084.01172	3343242403.23828	2284869553.50195	2961419642.71094	3838721152.29688	3241222050.02344	2941633628.25	3209083930.08984	6918814351.72656	3745731593.08789	2993174615.99609	2970175378.00781	5186528573.9375	4021881611.31641	4348730977.53125	3564035709.96875	3058525706.30469	2871953157.1875	4445581821.0625	3502556032.71094	3793152971.23438	5146952092.98438	2967946474.21875	3986683314.60156	5392385677.125	3832907445.89063	4420405469.50781	3910730689.08203
Q68FR9	Elongation factor 1-delta OS=Rattus norvegicus OX=10116 GN=Eef1d PE=1 SV=2	53516928.75	52845963.515625	36099055.0	45529757.0	41468109.25	56690391.5	29512406.5	82093073.75	58417935.0	47532871.0	15790061.5	70851710.5	51578787.0	94007061.5	65338553.0	76995569.0	33562069.5	70996797.0	94887538.0	71601180.0	71878073.0	75955375.0	66432886.5	77933933.0	84707005.75	83503639.0	94408681.5	41581774.0	58970092.75	87958475.5
Q8CFD0	Sideroflexin-5 OS=Rattus norvegicus OX=10116 GN=Sfxn5 PE=1 SV=1	24645801.1953125	23731182.0	18428706.5	23723657.2890625	28444843.0	17015836.125	37012126.0	20701688.5	35958184.0	40133080.25	28684614.25	23870695.5	30900098.0	40421680.0	30478529.25	43812548.5	45250049.6328125	37425855.0	26581830.5	31974859.5625	39432570.0	30980414.0	23951480.0	41983488.0	29213430.0	45111756.0	31808942.5	38151851.0	26744696.0	29834069.0
Q9Z2G8	Nucleosome assembly protein 1-like 1 OS=Rattus norvegicus OX=10116 GN=Nap1l1 PE=1 SV=1	113997506.0	98735834.3125	91374065.0	105475747.5	86531094.0	104035749.875	97301446.75	95334480.25	115288920.0	70899066.0	104785643.125	90387707.875	86672264.0	98261259.25	93256499.0	99815673.0	106597109.0	92049682.75	87393550.5	120085442.0	111697801.5	97793538.25	76733987.0	111236295.0	97551382.25	105630409.0	105413429.625	111111477.0	91400159.75	91253919.0
D4A3K5	Histone H1.1 OS=Rattus norvegicus OX=10116 GN=H1-1 PE=1 SV=1	408992429.75	366483851.75	359866222.875	369977231.532715	419986087.074219	456078556.808594	325055331.125	336580073.092773	347382309.464844	382704021.4375	374976758.0	426890628.25	346757878.4375	343427395.451172	416628804.273438	366208979.75	386974270.25	489782037.625	410637448.375	248678077.84082	457520431.3125	466138344.671875	341292395.25	594830502.375	370116365.676758	413365089.425781	479247705.375	499114588.625	430515208.868164	438710347.625
Q5EB77	Ras-related protein Rab-18 OS=Rattus norvegicus OX=10116 GN=Rab18 PE=2 SV=1	6876642.0	6387362.4375	6154195.0	9619134.75	20708534.25	12783751.8125	16092962.4375	14213070.625	24619312.9375	9612024.25	20170021.8125	17384269.1875	17163774.9375	14232998.5625	20842375.625	20297204.5	28741874.875	13166338.5	8544860.125	10433122.125	18137311.75	23755671.625	14272369.75	22834544.5	14254383.25	22967104.875	9874776.25	12999453.6875	9246275.25	19072576.875
Q6PTT0	Aminoacylase-1B OS=Rattus norvegicus OX=10116 GN=Acy1b PE=1 SV=1	19892074.0	34249547.5	31153871.5	40163201.375	35795446.0	23067244.625	18393191.34375	41100101.0	29739235.5	15713448.75	19593650.5	41330121.0	35698700.75	21049742.0	23423329.0	31312123.375	33437142.25	46034118.625	28309205.1875	45284450.0	44935283.5	57661029.78125	37003641.5	47659171.0	53325339.5	52271538.5	47383186.5	32010219.28125	49794674.125	54230077.5
P18420	Proteasome subunit alpha type-1 OS=Rattus norvegicus OX=10116 GN=Psma1 PE=1 SV=2	83538371.21875	36019267.375	61016382.0	41247630.5	47992320.75	40945305.25	44849206.0	45218707.9375	58611692.9375	63178401.875	62270046.75	63448257.5	62071915.0	67906221.25	68450494.25	57396994.5	69244732.875	56583452.75	66126649.5	59022420.75	57310224.25	70406543.625	60846228.3125	52293800.75	76907356.625	62858327.625	69253639.5625	51576080.5	60578171.25	58748906.125
P17475	Alpha-1-antiproteinase OS=Rattus norvegicus OX=10116 GN=Serpina1 PE=1 SV=2	85476065.375	112501177.25	86180632.75	71134108.25	51032404.25	120004704.0	70931479.75	88542812.8125	44833299.75	54046918.25	115428015.234375	96733877.375	62440130.75	48055221.875	108127329.25	89191390.75	98559569.75	46928072.0	87904163.125	67975322.25	88081535.5	86918356.1875	65426248.5	95490482.25	92564008.25	87170476.75	99973988.0	87469140.5	117164795.875	53761098.75
