"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Process","GO:0050803",11,274,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000004699,10116.ENSRNOP00000017375,10116.ENSRNOP00000022383,10116.ENSRNOP00000022485,10116.ENSRNOP00000025980,10116.ENSRNOP00000033456,10116.ENSRNOP00000035271,10116.ENSRNOP00000058882,10116.ENSRNOP00000062102,10116.ENSRNOP00000071702","Mapk14,Prkca,Dbnl,Slc17a6,Ngef,Hnrnpk,Camk1,Negr1,Camk2b,Ube2v2,Apoe",5.62e-07,0.00023,"Regulation of synapse structure or activity"
"Process","GO:0060998",7,82,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000017375,10116.ENSRNOP00000022485,10116.ENSRNOP00000025980,10116.ENSRNOP00000033456,10116.ENSRNOP00000058882,10116.ENSRNOP00000071702","Rac1,Dbnl,Ngef,Hnrnpk,Camk1,Camk2b,Apoe",6.43e-07,0.00025,"Regulation of dendritic spine development"
"Process","GO:0044282",12,345,10116,"10116.ENSRNOP00000002410,10116.ENSRNOP00000004385,10116.ENSRNOP00000008980,10116.ENSRNOP00000015786,10116.ENSRNOP00000015956,10116.ENSRNOP00000017468,10116.ENSRNOP00000024083,10116.ENSRNOP00000064092,10116.ENSRNOP00000068764,10116.ENSRNOP00000071702,10116.ENSRNOP00000072480,10116.ENSRNOP00000074608","Ehhadh,Qdpr,Dld,Auh,Got2,Ldha,Etfb,Pdxp,Aldoa,Apoe,Hadhb,Nudt3",7.31e-07,0.00028,"Small molecule catabolic process"
"Process","GO:0007417",22,1193,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000003283,10116.ENSRNOP00000004699,10116.ENSRNOP00000008342,10116.ENSRNOP00000009556,10116.ENSRNOP00000013184,10116.ENSRNOP00000019174,10116.ENSRNOP00000020720,10116.ENSRNOP00000022383,10116.ENSRNOP00000024430,10116.ENSRNOP00000025496,10116.ENSRNOP00000025980,10116.ENSRNOP00000026633,10116.ENSRNOP00000027497,10116.ENSRNOP00000035271,10116.ENSRNOP00000040899,10116.ENSRNOP00000050393,10116.ENSRNOP00000066885,10116.ENSRNOP00000071539,10116.ENSRNOP00000071702,10116.ENSRNOP00000074119,10116.ENSRNOP00000075715","Rac1,Plp1,Prkca,Slc6a11,LOC103692716,Dync1i1,Gnaq,Slc32a1,Slc17a6,Vim,Bcan,Hnrnpk,Cd9,Atp1a3,Negr1,Cadm2,Nf1,C3,Kif5a,Apoe,Gria1,Hsp90aa1",8.39e-07,0.00031,"Central nervous system development"
"Process","GO:1902600",8,129,10116,"10116.ENSRNOP00000015561,10116.ENSRNOP00000020670,10116.ENSRNOP00000020720,10116.ENSRNOP00000021920,10116.ENSRNOP00000022383,10116.ENSRNOP00000025525,10116.ENSRNOP00000027497,10116.ENSRNOP00000065147","Slc25a18,Atp5f1d,Slc32a1,LOC100911417,Slc17a6,Cox5a,Atp1a3,Atp5pb",9.79e-07,0.00036,"Proton transmembrane transport"
"Process","GO:0045333",9,180,10116,"10116.ENSRNOP00000008980,10116.ENSRNOP00000015561,10116.ENSRNOP00000020670,10116.ENSRNOP00000021920,10116.ENSRNOP00000024083,10116.ENSRNOP00000025525,10116.ENSRNOP00000055224,10116.ENSRNOP00000065147,10116.ENSRNOP00000074647","Dld,Slc25a18,Atp5f1d,LOC100911417,Etfb,Cox5a,Ndufs2,Atp5pb,Gpd1",1.12e-06,0.00039,"Cellular respiration"
"Process","GO:0048731",46,4133,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000001115,10116.ENSRNOP00000001417,10116.ENSRNOP00000003283,10116.ENSRNOP00000003787,10116.ENSRNOP00000004249,10116.ENSRNOP00000004385,10116.ENSRNOP00000004699,10116.ENSRNOP00000004799,10116.ENSRNOP00000008342,10116.ENSRNOP00000008999,10116.ENSRNOP00000009556,10116.ENSRNOP00000011275,10116.ENSRNOP00000013184,10116.ENSRNOP00000017375,10116.ENSRNOP00000018072,10116.ENSRNOP00000018325,10116.ENSRNOP00000019174,10116.ENSRNOP00000020411,10116.ENSRNOP00000020720,10116.ENSRNOP00000022363,10116.ENSRNOP00000022383,10116.ENSRNOP00000022485,10116.ENSRNOP00000024430,10116.ENSRNOP00000025496,10116.ENSRNOP00000025980,10116.ENSRNOP00000026633,10116.ENSRNOP00000027497,10116.ENSRNOP00000029070,10116.ENSRNOP00000031615,10116.ENSRNOP00000033456,10116.ENSRNOP00000035271,10116.ENSRNOP00000040899,10116.ENSRNOP00000050393,10116.ENSRNOP00000052160,10116.ENSRNOP00000055224,10116.ENSRNOP00000058882,10116.ENSRNOP00000062228,10116.ENSRNOP00000065890,10116.ENSRNOP00000066885,10116.ENSRNOP00000070324,10116.ENSRNOP00000070988,10116.ENSRNOP00000071539,10116.ENSRNOP00000071702,10116.ENSRNOP00000074119,10116.ENSRNOP00000075715","Mapk14,Ddx39b,Rac1,Plp1,Ptges3,Rab26,Qdpr,Prkca,Prdx2,Slc6a11,Sh3gl2,LOC103692716,Bsg,Dync1i1,Dbnl,Add1,Gsta1,Gnaq,Lgi1,Slc32a1,Hras,Slc17a6,Ngef,Vim,Bcan,Hnrnpk,Cd9,Atp1a3,Rab35,Ptk2b,Camk1,Negr1,Cadm2,Nf1,Hnrnpa1,Ndufs2,Camk2b,Prkacb,Glul,C3,Hbb,Gpm6b,Kif5a,Apoe,Gria1,Hsp90aa1",1.09e-06,0.00039,"System development"
"Process","GO:0015670",4,11,10116,"10116.ENSRNOP00000068875,10116.ENSRNOP00000069937,10116.ENSRNOP00000070324,10116.ENSRNOP00000071528","Hbb-b1,LOC103694857,Hbb,LOC100134871",1.17e-06,4e-04,"Carbon dioxide transport"
"Process","GO:0032879",32,2324,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000001417,10116.ENSRNOP00000003283,10116.ENSRNOP00000004249,10116.ENSRNOP00000004699,10116.ENSRNOP00000006329,10116.ENSRNOP00000008999,10116.ENSRNOP00000009556,10116.ENSRNOP00000009813,10116.ENSRNOP00000012114,10116.ENSRNOP00000018072,10116.ENSRNOP00000019174,10116.ENSRNOP00000019265,10116.ENSRNOP00000020822,10116.ENSRNOP00000020908,10116.ENSRNOP00000022363,10116.ENSRNOP00000025980,10116.ENSRNOP00000027407,10116.ENSRNOP00000028603,10116.ENSRNOP00000031615,10116.ENSRNOP00000033456,10116.ENSRNOP00000050393,10116.ENSRNOP00000058882,10116.ENSRNOP00000059906,10116.ENSRNOP00000065890,10116.ENSRNOP00000066885,10116.ENSRNOP00000070473,10116.ENSRNOP00000070988,10116.ENSRNOP00000071702,10116.ENSRNOP00000074461,10116.ENSRNOP00000075066,10116.ENSRNOP00000075715","Mapk14,Rac1,Plp1,Rab26,Prkca,Napb,Sh3gl2,LOC103692716,Fgb,Pdcd6ip,Add1,Gnaq,Arpc2,Rhoq,Nol3,Hras,Hnrnpk,Ctsd,Fxyd7,Ptk2b,Camk1,Nf1,Camk2b,Sgip1,Glul,C3,Myo18a,Gpm6b,Apoe,Epn2,Itpr3,Hsp90aa1",1.18e-06,4e-04,"Regulation of localization"
"Process","GO:0051049",29,1974,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000001417,10116.ENSRNOP00000003283,10116.ENSRNOP00000004249,10116.ENSRNOP00000004699,10116.ENSRNOP00000006329,10116.ENSRNOP00000008999,10116.ENSRNOP00000009556,10116.ENSRNOP00000009813,10116.ENSRNOP00000012114,10116.ENSRNOP00000018072,10116.ENSRNOP00000019174,10116.ENSRNOP00000019265,10116.ENSRNOP00000020822,10116.ENSRNOP00000020908,10116.ENSRNOP00000022363,10116.ENSRNOP00000025980,10116.ENSRNOP00000028603,10116.ENSRNOP00000031615,10116.ENSRNOP00000033456,10116.ENSRNOP00000050393,10116.ENSRNOP00000059906,10116.ENSRNOP00000065890,10116.ENSRNOP00000066885,10116.ENSRNOP00000070473,10116.ENSRNOP00000070988,10116.ENSRNOP00000071702,10116.ENSRNOP00000074461,10116.ENSRNOP00000075715","Mapk14,Rac1,Plp1,Rab26,Prkca,Napb,Sh3gl2,LOC103692716,Fgb,Pdcd6ip,Add1,Gnaq,Arpc2,Rhoq,Nol3,Hras,Hnrnpk,Fxyd7,Ptk2b,Camk1,Nf1,Sgip1,Glul,C3,Myo18a,Gpm6b,Apoe,Epn2,Hsp90aa1",1.2e-06,4e-04,"Regulation of transport"
