"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006006","glucose metabolic process",31,0.545089811918133,1.88543283857112,0.00137691429074468,0.0841884737769602,0.0804407822487679,203,"tags=48%, list=21%, signal=39%","60666/24533/81654/289950/25459/60449/81829/25630/24401/24333/25058/292804/24191/65152/24642"
"GO:0015718","monocarboxylic acid transport",18,0.635725143054475,1.92830137477173,0.00153987093311383,0.088959656642069,0.0849995735500339,144,"tags=39%, list=15%, signal=34%","50690/79213/50676/25728/25721/24778/117243"
"GO:0006793","phosphorus metabolic process",213,0.298059746384295,1.48879638602374,0.00161083490414961,0.088959656642069,0.0849995735500339,226,"tags=32%, list=24%, signal=32%","363875/245965/690660/25368/24189/294292/60666/362809/171375/299331/56011/298942/24440/293508/85428/311422/50646/24534/24533/56064/81654/117287/641434/289950/24551/25459/60449/25650/170851/65179/24832/83782/81743/170587/81829/25630/365216/117030/24212/24333/298410/25058/94167/117243/114101/292804/29577/301458/85238/24191/25045/64524/116643/170923/29753/25275/114096/84509/81683/301618/65152/24642/25289/266759/58942/171374/29384/24679/78959"
"GO:0006796","phosphate-containing compound metabolic process",213,0.298059746384295,1.48879638602374,0.00161083490414961,0.088959656642069,0.0849995735500339,226,"tags=32%, list=24%, signal=32%","363875/245965/690660/25368/24189/294292/60666/362809/171375/299331/56011/298942/24440/293508/85428/311422/50646/24534/24533/56064/81654/117287/641434/289950/24551/25459/60449/25650/170851/65179/24832/83782/81743/170587/81829/25630/365216/117030/24212/24333/298410/25058/94167/117243/114101/292804/29577/301458/85238/24191/25045/64524/116643/170923/29753/25275/114096/84509/81683/301618/65152/24642/25289/266759/58942/171374/29384/24679/78959"
"GO:0046661","male sex differentiation",14,-0.662147232196575,-1.92990975922698,0.00213059042021557,0.113986587481533,0.108912418191283,138,"tags=43%, list=14%, signal=37%","24629/85274/303533/362361/29578/117282"
"GO:0044770","cell cycle phase transition",28,-0.519886318678648,-1.83947396249965,0.00225515089650746,0.116994494994569,0.111786427214437,224,"tags=54%, list=23%, signal=42%","24654/29304/60460/25400/257644/29337/29600/64307/81830/171140/140908/24246/114612/24245/81821"
"GO:0010595","positive regulation of endothelial cell migration",11,0.705261721577777,1.83374565341429,0.00279563876931281,0.124028323246611,0.118507141124713,255,"tags=82%, list=27%, signal=61%","363875/50646/25246/25459/308061/292804/171374/65262/25291"
"GO:1990089","response to nerve growth factor",22,-0.551049069048383,-1.81288126962519,0.00279973629191731,0.124028323246611,0.118507141124713,141,"tags=41%, list=15%, signal=36%","29257/84510/294568/293692/29489/50592/24592/288700/116743"
"GO:0051494","negative regulation of cytoskeleton organization",27,-0.517321944664149,-1.80220278911556,0.00261872406629662,0.124028323246611,0.118507141124713,265,"tags=48%, list=28%, signal=36%","25152/29219/155151/170538/24171/29474/58814/25595/84510/64159/81661/114764/24170"
"GO:0098869","cellular oxidant detoxification",21,0.571252523035613,1.79986960284915,0.00282541156928612,0.124028323246611,0.118507141124713,143,"tags=52%, list=15%, signal=46%","689064/117254/25728/24440/29338/117287/25632/24786/24787/64371/94167"
"GO:0006119","oxidative phosphorylation",41,0.462995703473136,1.72422983597872,0.0026811178132444,0.124028323246611,0.118507141124713,291,"tags=61%, list=30%, signal=44%","245965/171375/289218/298942/252934/316632/117287/641434/100188937/81743/29445/54322/497902/301458/116643/25309/29507/171374/29384/65262/282819/313241/690441/94271/117273"
"GO:1901135","carbohydrate derivative metabolic process",101,0.363284203088815,1.62264826564225,0.00253676931684816,0.124028323246611,0.118507141124713,215,"tags=37%, list=22%, signal=32%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/81654/641434/289950/25650/170851/83782/81743/170587/24212/24333/298410/25058/117243/292804/301458/29443/24191/25045/64524/116643/84353/84509/65152/24642/25289/58942/171374"
"GO:0048259","regulation of receptor-mediated endocytosis",22,-0.549357178041358,-1.80731516364814,0.00295858398630529,0.124446605907542,0.118906803726218,159,"tags=45%, list=17%, signal=39%","81921/29337/291145/25387/29495/116563/25751/24232/116743/117282"
