protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q76EQ0,26.216387380606736,26.289230997191847,26.087394758022523,0.20183623916932447,0.4482835723417581,0.7918954570996919,0.3484471758610578,,non significant
G3V7P1,25.00699296303822,24.99385828359017,25.13102945799288,-0.13717117440270954,0.44930752929442574,0.7924282309260209,0.34745630363349683,,non significant
P84082,25.506788077260616,25.79335887655429,25.563359372121525,0.22999950443276518,0.4518656016719672,0.7956606180323403,0.34499071813472815,,non significant
P01830,28.10412400312005,28.29868217875587,28.15603634579919,0.14264583295668132,0.45349225221694867,0.7972451934006293,0.34343012833524095,,non significant
P63086,28.58627711847586,28.470927485721834,28.70504730620053,-0.23411982047869628,0.45477762974882174,0.7982256957351319,0.3422009061557761,,non significant
Q62910,29.672376263495966,29.772723886983268,29.663897972399074,0.10882591458419455,0.4555729478631658,0.798344287229861,0.34144207243877217,,non significant
D4A055,27.32576352120968,27.353695447810253,27.499902534392465,-0.14620708658221204,0.4579046085548719,0.800341264146975,0.33922498551821106,,non significant
Q6IE52,29.377280499792434,29.341291653207346,29.21075886275804,0.13053279044930477,0.46036038074452257,0.800341264146975,0.33690205942194634,,non significant
P53042,28.339653653394677,28.573018763779874,28.395992601489255,0.17702616229061974,0.45914928083602524,0.800341264146975,0.33804609158043813,,non significant
P62250,25.049300854914375,24.819379222781134,24.967562428634754,-0.14818320585361988,0.45979337126360775,0.800341264146975,0.33743729414631507,,non significant
P32736,26.500190978865266,26.649526571721594,26.49127759640343,0.15824897531816262,0.4599396388556206,0.800341264146975,0.33729916012713973,,non significant
P59649,25.540898737169098,25.535115038589524,25.447096872078557,0.08801816651096672,0.46148049491026055,0.8010191501844238,0.3358466502867331,,non significant
P17220,26.589873670099237,26.802631326551282,26.605443903948117,0.19718742260316446,0.4624468280832993,0.8014283892691617,0.3349381950277239,,non significant
P97690,30.09391456358734,30.15544080306448,30.097749472096,0.05769133096847767,0.4688471354522308,0.8020631980127509,0.3289687330868852,,non significant
P83868,26.011970399134658,26.35475196663934,26.123653557392775,0.23109840924656666,0.47313340257421765,0.8020631980127509,0.3250163902698017,,non significant
P15384,23.848759325556344,23.65016078757076,23.868353973739485,-0.21819318616872607,0.46805451731420866,0.8020631980127509,0.32970355891349457,,non significant
P02688,31.12387323189445,31.29741518834904,30.90452326936178,0.39289191898726017,0.46990782627476824,0.8020631980127509,0.32798732177925866,3.158017991681809,non significant
Q9QYU4,25.27531705648096,25.73951192755015,25.476912539616777,0.2625993879333741,0.4735933013110971,0.8020631980127509,0.32459444907272295,,non significant
P82995,29.65687201354371,29.769904670763122,29.69192230234997,0.07798236841315287,0.4774359783977451,0.8020631980127509,0.32108485673509873,,non significant
P35171,23.245157326379623,23.172468258224,23.38659909109747,-0.2141308328734688,0.47145748805063903,0.8020631980127509,0.3265574620727838,,non significant
P13383,31.67237162791316,31.705234549731646,31.874480512566763,-0.16924596283511661,0.4685377102343894,0.8020631980127509,0.329255449199631,,non significant
Q63604,26.79085687240585,26.880265706167023,26.78927733823289,0.09098836793413412,0.46709592084294704,0.8020631980127509,0.330593925397155,,non significant
P62747,26.9973550113402,27.087962637914206,26.992394312704846,0.09556832520935998,0.4648730328988323,0.8020631980127509,0.33266564633770873,,non significant
Q9Z2L9,28.020331205453314,27.945131622141574,28.14794502724799,-0.202813405106415,0.4712097178915442,0.8020631980127509,0.32678576155042516,,non significant
Q5XIF3,25.947946914461962,25.955281420183013,25.79936681722565,0.15591460295736326,0.47680103424101317,0.8020631980127509,0.32166281122780777,,non significant
P15800,27.976071704997707,27.883283689445932,28.096372351264545,-0.2130886618186132,0.46679465830419875,0.8020631980127509,0.33087412238305985,,non significant
Q9Z250,27.182865849047385,27.38390400509058,27.21854017092764,0.16536383416294242,0.47623936713526926,0.8020631980127509,0.32217470758095235,,non significant
P28570,23.246502427257738,23.272100365515087,23.502451421149985,-0.23035105563489822,0.4705363438295056,0.8020631980127509,0.32740682640246005,,non significant
P10960,27.9012236867986,28.00184963775001,27.874811795345554,0.12703784240445515,0.47519840214973996,0.8020631980127509,0.32312502833561185,,non significant
